localId,brand,manufacturer,name,manufacturerRefs,referenceCount,status,sourcePageUrl,summary
256,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2082,CG 2082 | 104 257 533 045,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/256.html,
257,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Glass Ceramic Utility Pack HP 1206E,HP 1206E,1,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/257.html,
258,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RD-2 Series Rubber Bond Diamond Polisher RD 2314,RD 2314 | 104 371 514 120,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/258.html,
259,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SK-4 Series Silicone Bond Polisher SK 4032,SK 4032 | 104 292 534 130,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/259.html,
260,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2062,CG 2062 | 104 273 533 030,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/260.html,
261,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2123,SH 2123 | 104 243 524 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/261.html,
262,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-3 Series Silicone Bond Polisher SG 3132,SG 3132 | 204 243 534 050,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/262.html,
263,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2052,CG 2052 | 104 292 533 050,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/263.html,
264,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2122,SH 2122 | 104 243 534 040,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/264.html,
265,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2032,CG 2032 | 104 113 533 065,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/265.html,
266,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RF-3 Series Rubber Bond Polisher RF 3204,RF 3204 | 204 030 514 060,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/266.html,
267,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RF-0 Series Rubber Bond Polisher RF 0023,RF 0023 | 900 114 524 070,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/267.html,
268,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",Anterior teeth all-ceramic porcelain preparation set,,0,OFFICIAL_MODEL_REFERENCE_REVIEW_REQUIRED,https://en.toboom.com.cn/product/268.html,
269,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2022,CG 2022 | 104 113 533 050,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/269.html,
270,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2114,SH 2114 | 104 243 514 030,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/270.html,
271,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",RD-2 Series Rubber Bond Diamond Polisher RD 2313,RD 2313 | 104 371 524 120,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/271.html,
272,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SG-3 Series Silicone Bond Polisher SG 3133,SG 3133 | 204 243 524 050,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/272.html,
273,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",CG-2 series vitrified bond grinder CG 2012,CG 2012 | 104 110 533 030,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/273.html,
274,TOBOOM,"Shanghai TOBOOM Dental Technology Co., Ltd.",SH-2 Series Silicone Bond Polisher SH 2113,SH 2113 | 104 243 524 030,2,OFFICIAL_REFERENCE_PRESENT,https://en.toboom.com.cn/product/274.html,
