"productId","productName","brand","manufacturer","manufacturerRefs","sourceUrl","priority","currentMediaStatus","rightsStatus","status","acceptanceRule"
"public-721a0e66f8b65e3ebee47c0c","Клампы детские 3,016","","","","https://a4d.kz/content/klampy-detskie-3016","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-55f9925f9436137a374ef981","Клампы для детских зубов Правый -Левый Россия","","","","https://a4d.kz/content/klampy-dlya-detskih-zubov-pravyy-levyy-rossiya","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-c143afed1c213a3fffe82558","Клампы для коффердама","Interdent","Interdent","","https://nordstom.kz/","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-6572f4e3e0028d75181ce043","Клампы для моляров симметричные Россия","","","","https://a4d.kz/content/klampy-dlya-molyarov-simmetrichnye-rossiya","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-56aa59a84990ee1da364bc87","Клампы для передних зубов Россия","","","","https://a4d.kz/content/klampy-dlya-perednih-zubov-rossiya","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-8661dcc4cb09a2bb6d1ee76a","Клампы для премоляров симетричные Россия","","","","https://a4d.kz/content/klampy-dlya-premolyarov-simetrichnye-rossiya","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-fc73a4a29b5265dd16e3aac4","Клампы набор 3,014","","","","https://a4d.kz/content/klampy-nabor-3014","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-06b3051299786d945f07040d","Клампы набор 3,017 № 1, № 7, № 8, № 8А, № 9, № 14, № 201, № 202, № 212 Россия","","","","https://a4d.kz/content/klampy-nabor-3017-no-1-no-7-no-8-no-8a-no-9-no-14-no-201-no-202-no-212-rossiya","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-6b1f245284a2837765346cc2","Клампы Пакистан","","","","https://a4d.kz/content/klampy-pakistan","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
"public-9b31d13ef1f0e20efbeb822c","Клампы Правый -Левый Россия","","","","https://a4d.kz/content/klampy-pravyy-levyy-rossiya","P0_COMMERCIAL","MISSING","NOT_CHECKED","NEEDS_OFFICIAL_PRODUCT_PHOTO","Точная модель/семейство, без логотипа-заглушки, источник и права зафиксированы"
