source,brand,name,productId,manufacturerRefs,variantCount,imageCount,marketEvidence,readiness,sourcePageUrl,sourceFile
NORD STOM KZ,Interdent,Восковые профили,126,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/wax/item-126,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Спрей Interwaxit для обезжиривания и снятия напряж.восковой конструкции,127,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-127,nordstom-full-catalog.json
NORD STOM KZ,Interdent,Окклюзионный спрей,128,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/dental-materials/modeling/auxiliary-tools-for-modeling/item-128,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Visalys CemCore Universal,503,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/cements-for-fixation/for-permanent-fixation/item-503,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Visalys Core,504,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/therapy/dvoinoi/item-504,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Visalys Temp,505,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/temporary-orthopedic-structures/item-505,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Futar D,545,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/a-silicone/item-545,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Futar D Slow,546,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/a-silicone/item-546,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Futar Clear Fast,547,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/a-silicone/item-547,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Futar,548,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/a-silicone/item-548,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Panasil Putty,549,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/a-silicone/item-549,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Panasil initial contact X-Light,550,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/a-silicone/item-550,nordstom-full-catalog.json
NORD STOM KZ,Kettenbach,Mucopren Soft Basic,551,,1,1,EXACT_KZ_LISTING,MANUFACTURER_REFERENCE_REQUIRED,https://nordstom.kz/catalog/orthopedics/impression-materials-accessories/prosthetic_pads/item-551,nordstom-full-catalog.json
